A,B,C
9666.068953662145,10577.056615789972,10577.056615789972
9666.068953662145,10577.056615789972,10577.056615789972
9666.068953662145,10577.056615789972,10577.056615789972
9666.068953662145,10577.056615789972,10577.056615789972
9666.068953662145,10577.056615789972,10577.056615789972
9666.068953662145,10577.056615789972,10577.056615789972
8773.42994745113,10577.056615789972,10577.056615789972
8773.42994745113,10577.056615789972,10577.056615789972
8773.42994745113,10577.056615789972,10577.056615789972
9767.677184356133,10577.056615789972,10577.056615789972
9767.677184356133,10577.056615789972,10577.056615789972
9767.677184356133,10577.056615789972,10577.056615789972
8793.351385216609,10577.056615789972,10577.056615789972
7918.412922387556,9524.63948251887,9524.63948251887
7918.412922387556,9524.63948251887,9524.63948251887
7918.412922387556,9524.63948251887,9524.63948251887
7918.412922387556,9524.63948251887,9524.63948251887
7966.892623464881,9582.953147076107,9582.953147076107
8017.53220076412,9582.953147076107,9582.953147076107
9016.748064998646,9582.953147076107,9582.953147076107
9016.748064998646,9582.953147076107,9582.953147076107
9016.748064998646,9582.953147076107,9582.953147076107
8117.327445515031,8627.053570655264,8627.053570655264
8117.327445515031,8627.053570655264,8627.053570655264
8117.327445515031,8627.053570655264,8627.053570655264
8165.483299725019,8678.233363117592,8678.233363117592
8165.483299725019,8678.233363117592,8678.233363117592
8165.483299725019,8678.233363117592,8678.233363117592
7350.976340577448,7812.579585146611,7812.579585146611
8324.252707697271,8846.972667667222,8846.972667667222
6748.2646043440745,7172.020673232708,7172.020673232708
6748.2646043440745,7172.020673232708,7172.020673232708
8575.630779145582,9228.206289222442,9228.206289222442
9282.408895093477,9979.36641055255,9979.36641055255
10014.62535186081,10757.562268764152,10757.562268764152
