average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[15, 25, 40]",0.1949,0.5441,0.1974,0.0459,0.4407,0.8287,0.3753,225.2%,152,226,103,37,95,613,122.6%,54.4%,102.57%,33.0%
"[8, 40, 89]",0.6117,0.3363,-0.0948,0.1528,0.1658,0.9931,0.3608,216.5%,149,201,94,33,93,570,114.0%,52.7%,102.48%,35.4%
"[8, 34, 233]",0.4672,0.53,-0.2204,0.1294,0.7226,0.8576,0.4144,248.6%,213,235,137,36,110,731,146.2%,58.8%,102.44%,41.1%
"[13, 55, 144]",0.0905,0.3904,-0.1253,0.1499,0.4428,0.839,0.2979,178.7%,110,126,59,23,71,389,77.8%,43.5%,100.93%,39.4%
"[10, 55, 200]",0.0301,0.258,0.0174,0.1977,0.4766,0.9066,0.3144,188.6%,118,160,59,28,74,439,87.8%,46.5%,100.84%,36.8%
"[8, 40, 200]",0.5733,0.0857,-0.0839,0.2589,0.4597,1.0019,0.3826,229.6%,176,217,108,40,104,645,129.0%,56.2%,100.56%,37.5%
"[21, 75, 200]",0.4413,0.1098,-0.0294,0.1423,0.4552,0.4068,0.2543,152.6%,68,87,36,27,45,263,52.6%,34.5%,99.99%,34.9%
"[15, 60, 150]",0.3304,0.2131,0.0307,0.0207,0.5235,0.5428,0.2769,166.1%,94,115,42,20,62,333,66.6%,40.1%,99.52%,39.3%
"[21, 89, 144]",0.3726,0.3965,0.0799,0.2508,0.0983,0.2317,0.2383,143.0%,51,71,34,20,42,218,43.6%,30.5%,99.38%,30.5%
"[13, 55, 233]",0.0532,0.3278,-0.1001,0.1603,0.3605,1.0159,0.3029,181.8%,113,135,63,27,74,412,82.4%,45.3%,99.35%,37.8%
"[13, 34, 150]",0.1503,0.6307,-0.098,0.2804,0.6169,0.6583,0.3731,223.9%,168,203,127,27,100,625,125.0%,55.8%,98.85%,36.8%
"[5, 30, 100]",0.6093,1.0362,-0.06,0.3283,0.2022,0.491,0.4345,260.7%,229,285,130,37,130,811,162.2%,62.2%,98.49%,39.3%
"[13, 34, 75]",0.2549,0.6853,-0.1246,0.2339,0.3612,0.6398,0.3417,205.0%,139,174,104,28,88,533,106.6%,52.0%,98.44%,35.3%
"[13, 34, 40]",0.2215,0.4396,0.0169,0.2653,0.2858,0.5781,0.3012,180.7%,108,130,84,20,72,414,82.8%,45.8%,97.93%,35.3%
"[5, 60, 233]",0.2436,0.3442,0.0257,0.1625,0.3531,0.9033,0.3387,203.2%,143,171,93,37,86,530,106.0%,52.2%,97.24%,37.0%
"[21, 89, 150]",0.3938,0.3586,0.081,0.2508,0.0983,0.2317,0.2357,141.4%,52,72,35,20,42,221,44.2%,31.3%,97.22%,30.8%
"[21, 75, 150]",0.2915,0.0646,-0.0339,0.1333,0.5948,0.4187,0.2449,146.9%,68,77,35,25,44,249,49.8%,33.9%,97.12%,37.6%
"[8, 34, 60]",0.3105,1.0121,-0.2753,0.1027,0.1922,0.805,0.3579,214.7%,163,196,102,34,93,588,117.6%,54.8%,97.12%,38.4%
"[5, 30, 75]",0.6296,1.0823,0.0088,0.1986,0.0666,0.5195,0.4175,250.5%,221,266,124,35,126,772,154.4%,61.6%,96.12%,40.1%
"[5, 60, 200]",0.2576,0.2807,0.0131,0.1579,0.3577,0.9465,0.3356,201.4%,145,172,89,35,86,527,105.4%,52.3%,95.95%,38.0%
"[8, 34, 100]",0.4184,1.0731,-0.3008,0.1529,0.0513,0.8783,0.3789,227.3%,188,213,120,36,100,657,131.4%,57.8%,95.92%,40.1%
"[10, 89, 233]",0.3699,0.0615,0.0684,0.3415,0.2836,0.4061,0.2552,153.1%,83,88,42,25,49,287,57.4%,37.5%,95.70%,40.7%
"[8, 34, 150]",0.2312,0.836,-0.2423,0.1305,0.4912,0.9042,0.3918,235.1%,209,223,125,34,107,698,139.6%,59.4%,95.47%,42.7%
"[10, 40, 55]",0.6001,0.3464,-0.0971,0.1454,0.0826,0.7781,0.3093,185.6%,124,152,75,25,77,453,90.6%,48.8%,94.96%,37.7%
"[15, 34, 50]",0.2109,0.3682,0.0274,0.1469,0.2903,0.8343,0.313,187.8%,130,151,79,23,82,465,93.0%,49.5%,94.81%,38.8%
"[21, 89, 233]",0.4553,0.2342,0.1553,0.2571,0.1255,0.1851,0.2354,141.3%,57,75,37,21,43,233,46.6%,33.0%,94.66%,32.4%
"[13, 34, 55]",0.1802,0.5388,0.0376,0.2425,0.3272,0.6002,0.3211,192.6%,125,163,96,25,81,490,98.0%,50.9%,94.63%,34.2%
"[8, 34, 144]",0.2766,0.8964,-0.3177,0.1372,0.4315,0.9042,0.388,232.8%,205,222,126,34,105,692,138.4%,59.4%,94.41%,42.1%
"[13, 60, 75]",0.172,0.5799,-0.0975,0.0597,0.3073,0.5629,0.2641,158.4%,91,109,46,16,61,323,64.6%,40.8%,93.84%,39.2%
"[13, 55, 200]",0.0599,0.2387,-0.1025,0.1603,0.3787,1.0137,0.2915,174.9%,112,135,62,25,72,406,81.2%,46.4%,93.68%,38.1%
"[13, 60, 89]",0.1916,0.5188,-0.0793,0.0557,0.3162,0.5844,0.2646,158.7%,90,113,46,17,60,326,65.2%,41.1%,93.53%,38.1%
"[21, 75, 144]",0.2548,0.0735,-0.0315,0.1211,0.594,0.4187,0.2384,143.1%,68,76,36,25,43,248,49.6%,34.7%,93.46%,37.8%
"[10, 34, 100]",0.4315,0.8387,-0.3747,0.104,0.267,0.8872,0.359,215.4%,161,202,119,35,93,610,122.0%,56.6%,93.37%,35.9%
"[13, 60, 233]",0.2674,0.2224,-0.0572,0.0646,0.4842,0.7145,0.2827,169.6%,109,131,55,19,68,382,76.4%,45.0%,93.20%,39.9%
"[5, 30, 144]",0.6336,0.9275,-0.1002,0.2882,0.2649,0.6075,0.4369,262.2%,239,298,136,44,132,849,169.8%,64.8%,92.35%,39.2%
"[10, 55, 75]",0.0137,0.4354,-0.0464,0.2249,0.3396,0.696,0.2772,166.3%,99,138,47,29,57,370,74.0%,44.5%,92.31%,36.5%
"[10, 34, 60]",0.3607,0.7482,-0.3183,0.0124,0.3944,0.8076,0.3342,200.5%,138,186,101,33,84,542,108.4%,54.1%,92.10%,34.2%
"[8, 40, 233]",0.6177,0.0873,-0.0606,0.2414,0.4674,0.8635,0.3695,221.7%,179,218,110,39,103,649,129.8%,58.6%,91.89%,38.1%
"[13, 89, 233]",0.4265,-0.0102,0.1084,0.3467,0.2509,0.3138,0.2393,143.6%,70,83,43,18,46,260,52.0%,36.2%,91.61%,36.8%
"[13, 34, 144]",0.1517,0.7059,-0.1439,0.2258,0.5444,0.6562,0.3567,214.0%,165,201,126,27,97,616,123.2%,57.6%,90.82%,36.6%
"[8, 60, 150]",0.1733,0.0615,0.0681,0.2012,0.4034,0.8725,0.2966,178.0%,120,149,73,25,70,437,87.4%,49.1%,90.59%,37.9%
"[15, 25, 34]",0.0702,0.4763,0.1125,0.1148,0.3516,0.8812,0.3344,200.7%,137,206,91,32,85,551,110.2%,54.9%,90.46%,33.1%
"[8, 60, 144]",0.1733,0.0615,0.0676,0.1973,0.4034,0.8689,0.2953,177.2%,120,149,71,25,70,435,87.0%,49.1%,90.18%,38.1%
"[10, 40, 150]",0.4991,0.3018,-0.1322,0.1859,0.4493,0.7329,0.3395,203.7%,160,186,101,32,89,568,113.6%,55.8%,90.08%,39.2%
"[8, 55, 150]",0.0526,0.205,-0.1205,0.3859,0.6194,0.7263,0.3114,186.9%,140,171,69,28,77,485,97.0%,51.9%,89.86%,40.6%
"[13, 34, 60]",0.1427,0.5803,-0.032,0.2755,0.3306,0.6156,0.3188,191.3%,130,168,102,26,82,508,101.6%,53.1%,89.67%,34.4%
"[5, 55, 233]",0.2668,0.2614,0.0133,0.2061,0.2913,0.9745,0.3356,201.3%,164,176,86,36,98,560,112.0%,55.6%,89.34%,41.4%
"[8, 55, 144]",0.0526,0.2378,-0.1196,0.3969,0.6188,0.6731,0.3099,186.0%,137,173,70,28,76,484,96.8%,52.1%,89.16%,39.5%
"[10, 34, 150]",0.2357,0.6519,-0.3266,0.0928,0.6631,0.8754,0.3654,219.2%,181,212,126,34,98,651,130.2%,59.4%,89.03%,38.5%
"[10, 40, 144]",0.4991,0.3002,-0.1751,0.1933,0.4544,0.7438,0.336,201.6%,158,184,101,32,88,563,112.6%,55.9%,88.99%,39.0%
"[13, 34, 100]",0.2577,0.72,-0.1238,0.2321,0.3072,0.6484,0.3403,204.2%,153,188,117,28,93,579,115.8%,56.7%,88.37%,35.9%
"[15, 60, 144]",0.2858,0.2127,0.0307,0.0214,0.4517,0.5428,0.2575,154.5%,94,115,42,20,60,331,66.2%,42.8%,88.31%,39.7%
"[10, 34, 75]",0.4189,0.8197,-0.3826,0.0097,0.3067,0.8381,0.3351,201.0%,148,192,104,33,87,564,112.8%,56.1%,88.24%,35.6%
"[13, 89, 100]",0.404,0.0565,0.2059,0.2336,0.0827,0.3903,0.2288,137.3%,71,76,43,13,46,249,49.8%,36.3%,87.50%,39.9%
"[21, 89, 200]",0.4203,0.2342,0.1553,0.2571,0.0462,0.2109,0.2207,132.4%,55,74,35,20,41,225,45.0%,34.0%,87.41%,32.4%
"[8, 34, 89]",0.4004,1.0623,-0.3723,0.0881,0.1322,0.8362,0.3578,214.7%,184,210,116,35,97,642,128.4%,59.8%,86.29%,40.2%
"[15, 60, 200]",0.3454,0.1477,0.0551,0.0098,0.4155,0.5851,0.2598,155.9%,99,121,44,21,63,348,69.6%,44.7%,86.27%,39.8%
"[10, 40, 50]",0.5877,0.2669,-0.1341,0.1771,0.0148,0.8085,0.2868,172.1%,120,143,69,25,73,430,86.0%,50.0%,86.08%,38.7%
"[10, 89, 200]",0.3917,0.0451,0.0712,0.3415,0.1522,0.4357,0.2396,143.7%,86,87,44,24,48,289,57.8%,40.2%,85.94%,42.4%
"[13, 34, 200]",0.13,0.4136,-0.0241,0.3002,0.7314,0.5975,0.3581,214.9%,175,207,134,29,101,646,129.2%,60.1%,85.67%,37.2%
"[10, 15, 34]",0.3489,0.7156,0.0931,-0.0891,1.3033,1.0478,0.5699,342.0%,341,423,253,75,190,1282,256.4%,75.0%,85.57%,36.2%
"[10, 34, 144]",0.2594,0.7261,-0.3737,0.0994,0.5509,0.8754,0.3563,213.8%,175,212,126,34,95,642,128.4%,60.1%,85.35%,37.5%
"[10, 55, 100]",0.0519,0.419,-0.0945,0.1509,0.3774,0.7316,0.2727,163.6%,108,143,52,29,61,393,78.6%,48.0%,85.04%,37.9%
"[10, 55, 89]",0.0272,0.419,-0.0851,0.2258,0.2896,0.7396,0.2693,161.6%,106,141,48,29,59,383,76.6%,47.4%,85.01%,38.3%
"[13, 34, 233]",0.259,0.355,-0.0247,0.2775,0.7037,0.5779,0.3581,214.8%,174,213,132,30,101,650,130.0%,60.5%,84.84%,36.6%
"[15, 89, 233]",0.2564,-0.0474,0.0421,0.3457,0.3866,0.3506,0.2223,133.4%,59,84,42,18,41,244,48.8%,36.6%,84.61%,31.9%
"[5, 30, 150]",0.593,0.8768,-0.0413,0.2696,0.2493,0.6107,0.4264,255.8%,244,302,137,43,132,858,171.6%,67.1%,84.22%,39.7%
"[10, 40, 60]",0.5621,0.3313,-0.0922,0.1483,0.1128,0.7187,0.2968,178.1%,131,159,79,25,77,471,94.2%,52.9%,83.89%,38.5%
"[10, 15, 40]",0.5305,0.6678,0.0969,-0.0638,1.1241,1.2218,0.5962,357.7%,363,459,266,84,198,1370,274.0%,76.6%,83.73%,36.0%
"[15, 60, 75]",0.2449,0.3792,0.0567,0.0027,0.3639,0.3574,0.2341,140.5%,82,93,35,20,54,284,56.8%,40.4%,83.69%,40.6%
"[8, 40, 75]",0.621,0.3184,-0.167,0.1183,0.1318,0.9134,0.3227,193.6%,147,195,88,35,87,552,110.4%,57.0%,83.19%,36.3%
"[13, 34, 89]",0.2462,0.7009,-0.1896,0.22,0.371,0.6134,0.327,196.2%,150,183,114,28,90,565,113.0%,57.6%,83.19%,36.1%
"[13, 89, 200]",0.4342,0.0105,0.1136,0.3467,0.0974,0.3514,0.2256,135.4%,72,84,43,18,45,262,52.4%,38.7%,82.98%,37.9%
"[21, 40, 55]",0.478,0.2543,0.0517,0.2724,0.2656,0.3291,0.2752,165.1%,113,135,76,21,66,411,82.2%,49.8%,82.91%,37.9%
"[10, 34, 200]",0.2515,0.4504,-0.3217,0.1147,0.8398,0.8544,0.3648,218.9%,188,225,130,37,100,680,136.0%,62.1%,82.90%,38.2%
"[21, 60, 150]",0.0925,0.1919,-0.0292,0.0864,0.6059,0.5087,0.2427,145.6%,85,112,44,20,56,317,63.4%,43.5%,82.22%,36.6%
"[15, 55, 150]",0.287,0.2847,-0.2098,0.1589,0.5518,0.4914,0.2607,156.4%,100,134,58,22,62,376,75.2%,48.1%,81.19%,36.2%
"[5, 55, 200]",0.1821,0.1931,0.0111,0.2057,0.3607,0.9745,0.3212,192.7%,164,179,84,36,96,559,111.8%,58.0%,80.91%,41.5%
"[5, 60, 100]",0.126,0.2988,-0.0089,0.178,0.3551,0.8629,0.302,181.2%,142,163,81,31,85,502,100.4%,55.4%,80.80%,39.4%
"[15, 34, 60]",0.2193,0.4406,-0.0475,0.1812,0.3028,0.7273,0.3039,182.4%,140,168,90,25,85,508,101.6%,55.7%,80.77%,38.0%
"[15, 60, 100]",0.2884,0.2562,0.0364,0.0531,0.4014,0.3821,0.2363,141.8%,87,104,40,21,55,307,61.4%,43.3%,80.37%,39.5%
"[10, 34, 233]",0.3784,0.3787,-0.3208,0.092,0.8123,0.8285,0.3615,216.9%,188,227,130,38,100,683,136.6%,63.0%,80.33%,38.0%
"[15, 55, 60]",0.1017,0.4837,-0.098,0.1421,0.3782,0.3774,0.2309,138.5%,76,102,41,22,51,292,58.4%,42.2%,80.13%,35.2%
"[5, 55, 150]",0.0417,0.2756,0.0111,0.1765,0.4565,0.9401,0.3169,190.2%,161,177,85,36,92,551,110.2%,58.0%,79.95%,41.3%
"[15, 34, 75]",0.3392,0.4847,-0.0969,0.1521,0.2496,0.7509,0.3133,188.0%,152,173,96,29,91,541,108.2%,57.6%,79.76%,39.1%
"[15, 34, 150]",0.2394,0.402,-0.0609,0.2162,0.4646,0.7868,0.3414,204.8%,179,200,115,30,103,627,125.4%,61.2%,79.42%,40.0%
"[13, 55, 100]",0.064,0.3991,-0.1362,0.1561,0.2716,0.7403,0.2491,149.5%,101,119,50,20,64,354,70.8%,47.4%,78.69%,39.9%
"[5, 30, 89]",0.584,1.0515,-0.0317,0.1599,0.1371,0.4814,0.397,238.2%,230,282,125,37,126,800,160.0%,67.2%,78.23%,40.4%
"[8, 55, 60]",-0.0191,0.2854,-0.1768,0.3996,0.4031,0.6972,0.2649,159.0%,116,146,51,25,67,405,81.0%,51.0%,77.95%,40.1%
"[5, 55, 144]",0.0417,0.2959,0.012,0.185,0.4572,0.887,0.3131,187.9%,159,179,85,36,91,550,110.0%,58.5%,77.88%,40.7%
"[15, 55, 233]",0.2411,0.2907,-0.1837,0.1652,0.4686,0.601,0.2638,158.3%,106,143,61,27,66,403,80.6%,50.9%,77.69%,35.7%
"[8, 40, 55]",0.5369,0.1786,-0.1501,0.1389,0.1386,0.9876,0.3051,183.1%,140,186,81,36,84,527,105.4%,57.6%,77.65%,36.2%
"[15, 60, 233]",0.3059,0.1464,0.06,0.0181,0.3983,0.5385,0.2445,146.7%,100,119,45,23,62,349,69.8%,47.6%,76.92%,40.2%
"[8, 55, 200]",0.0624,0.1163,-0.1205,0.4138,0.5278,0.7473,0.2912,174.7%,144,174,66,30,77,491,98.2%,56.2%,76.51%,41.5%
"[10, 89, 144]",0.3327,0.077,0.0086,0.3106,0.1782,0.4257,0.2221,133.3%,84,88,43,23,46,284,56.8%,42.6%,76.48%,42.0%
"[10, 40, 89]",0.5753,0.3835,-0.2091,0.1734,0.1246,0.7329,0.2968,178.1%,141,170,90,26,81,508,101.6%,57.1%,76.46%,38.4%
"[8, 60, 233]",0.1767,0.0144,0.0617,0.1545,0.3369,0.9077,0.2753,165.2%,122,151,75,28,69,445,89.0%,53.9%,76.19%,37.8%
"[15, 34, 55]",0.2351,0.3985,-0.0058,0.149,0.2506,0.7119,0.2899,173.9%,135,164,84,24,82,489,97.8%,56.2%,76.14%,38.1%
"[15, 60, 89]",0.2652,0.3185,0.0779,-0.0012,0.3098,0.375,0.2242,134.5%,83,101,36,19,53,292,58.4%,43.4%,76.11%,39.7%
"[15, 55, 144]",0.287,0.2847,-0.2089,0.1565,0.5518,0.4382,0.2516,150.9%,100,134,58,22,61,375,75.0%,49.7%,75.93%,36.4%
"[10, 40, 75]",0.6213,0.3567,-0.1669,0.1269,0.1215,0.6707,0.2884,173.0%,137,163,84,25,77,486,97.2%,56.2%,75.81%,39.3%
"[15, 34, 40]",0.1315,0.2704,-0.0529,0.1669,0.2851,0.7651,0.261,156.6%,117,125,73,18,71,404,80.8%,51.6%,75.81%,40.8%
"[8, 40, 50]",0.5402,0.0802,-0.1884,0.1326,0.1698,1.0334,0.2946,176.8%,136,178,74,36,81,505,101.0%,57.1%,75.78%,36.9%
"[21, 89, 100]",0.3138,0.2891,0.0621,0.1881,0.0471,0.232,0.1887,113.2%,48,65,31,17,36,197,39.4%,34.8%,73.82%,32.2%
"[13, 89, 144]",0.3633,0.0417,0.082,0.2881,0.1324,0.339,0.2078,124.7%,71,81,42,18,43,255,51.0%,40.9%,73.65%,38.6%
"[10, 34, 89]",0.41,0.7864,-0.4466,-0.0063,0.3392,0.8451,0.3213,192.8%,160,200,115,34,89,598,119.6%,62.0%,73.19%,36.5%
"[8, 55, 233]",0.0998,0.0302,-0.1183,0.4175,0.5066,0.7831,0.2865,171.9%,143,174,70,31,76,494,98.8%,57.5%,73.11%,40.7%
"[21, 60, 144]",0.0479,0.1919,-0.0292,0.1152,0.5247,0.5094,0.2267,136.0%,84,114,44,20,54,316,63.2%,46.5%,72.79%,36.2%
"[5, 55, 60]",0.0593,0.3707,-0.0362,0.0873,0.3142,0.9117,0.2845,170.7%,139,161,75,33,82,490,98.0%,57.4%,72.71%,39.6%
"[10, 89, 150]",0.3327,0.0657,0.0097,0.3106,0.1782,0.4028,0.2166,130.0%,86,89,43,23,46,287,57.4%,44.2%,72.57%,42.8%
"[8, 40, 60]",0.4864,0.2111,-0.1564,0.1407,0.1598,0.9682,0.3016,181.0%,146,192,84,36,85,543,108.6%,60.0%,72.39%,36.8%
"[15, 55, 200]",0.2475,0.2043,-0.1861,0.1652,0.4858,0.5988,0.2526,151.6%,105,142,60,25,64,396,79.2%,52.3%,72.35%,36.1%
"[13, 55, 75]",0.0267,0.4915,-0.1835,0.1708,0.214,0.6742,0.2323,139.4%,95,112,48,21,60,336,67.2%,48.2%,72.15%,39.4%
"[13, 55, 60]",-0.1182,0.4713,-0.1258,0.1143,0.3063,0.6996,0.2246,134.8%,92,106,42,21,57,318,63.6%,47.2%,71.15%,40.7%
"[8, 15, 40]",0.4026,0.6017,0.2683,-0.1459,0.8183,1.1102,0.5092,305.5%,329,381,214,72,176,1172,234.4%,76.7%,71.12%,39.0%
"[21, 40, 60]",0.4523,0.2217,0.0293,0.2736,0.2691,0.3164,0.2604,156.2%,118,142,78,23,66,427,85.4%,54.7%,70.83%,38.2%
"[8, 60, 200]",0.1526,-0.0476,0.0676,0.1413,0.347,0.9266,0.2646,158.8%,124,150,73,26,68,441,88.2%,55.6%,70.55%,39.1%
"[15, 34, 233]",0.3768,0.1801,0.0098,0.2296,0.5545,0.6623,0.3355,201.3%,187,211,120,31,106,655,131.0%,65.1%,70.31%,40.0%
"[13, 89, 150]",0.3633,0.0294,0.0832,0.2881,0.1324,0.3161,0.2021,121.3%,73,82,42,18,43,258,51.6%,42.6%,69.65%,39.5%
"[5, 55, 100]",0.0827,0.3788,-0.0374,0.1768,0.3015,0.8347,0.2895,173.7%,151,173,80,32,88,524,104.8%,60.3%,68.91%,40.5%
"[15, 89, 200]",0.1856,-0.0266,0.0421,0.3457,0.2396,0.3882,0.1958,117.5%,61,84,42,17,39,243,48.6%,41.4%,68.86%,33.5%
"[15, 34, 200]",0.2478,0.2316,0.0104,0.2507,0.5716,0.6841,0.3327,199.6%,188,209,120,31,106,654,130.8%,65.5%,68.82%,40.3%
"[13, 55, 89]",0.0394,0.3991,-0.1296,0.1717,0.194,0.7125,0.2312,138.7%,101,118,48,21,62,350,70.0%,50.5%,68.70%,40.6%
"[15, 89, 100]",0.0658,0.0315,0.1282,0.2343,0.2251,0.4651,0.1917,115.0%,62,74,43,14,39,232,46.4%,40.4%,68.59%,36.5%
"[21, 60, 100]",0.0732,0.2483,-0.0531,0.1034,0.4697,0.4287,0.2117,127.0%,79,103,42,18,51,293,58.6%,46.1%,68.42%,36.9%
"[15, 34, 144]",0.2409,0.4611,-0.1067,0.1609,0.408,0.7416,0.3176,190.6%,176,197,114,30,99,616,123.2%,64.6%,67.38%,40.0%
"[10, 40, 233]",0.6067,0.0548,-0.0957,0.2299,0.4757,0.588,0.3099,185.9%,172,190,114,33,88,597,119.4%,64.2%,66.54%,40.5%
"[21, 55, 60]",0.1645,0.5645,0.0972,0.0249,0.3329,0.033,0.2028,121.7%,67,94,46,31,39,277,55.4%,45.5%,66.30%,31.9%
"[10, 89, 100]",0.4075,-0.0301,0.079,0.2776,0.0622,0.425,0.2036,122.1%,86,88,41,20,45,280,56.0%,45.9%,66.13%,44.3%
"[21, 40, 100]",0.4045,0.3034,0.0962,0.2167,0.2668,0.3585,0.2744,164.6%,142,159,88,28,76,493,98.6%,59.9%,66.01%,40.5%
"[8, 75, 200]",0.0611,0.2375,-0.1194,0.2729,0.3145,0.7092,0.246,147.6%,127,132,57,27,68,411,82.2%,55.7%,65.38%,44.7%
"[8, 75, 233]",0.0878,0.1967,-0.1184,0.2552,0.3773,0.675,0.2456,147.4%,127,129,58,28,68,410,82.0%,55.6%,65.35%,44.9%
"[10, 40, 200]",0.508,0.0299,-0.1013,0.2456,0.4676,0.6805,0.305,183.0%,170,189,110,34,88,591,118.2%,64.6%,64.82%,40.4%
"[8, 75, 150]",-0.0193,0.2082,-0.1165,0.2406,0.3537,0.7752,0.2403,144.2%,126,126,54,23,68,397,79.4%,55.1%,64.79%,46.5%
"[8, 55, 100]",0.0091,0.2194,-0.208,0.4331,0.423,0.6703,0.2578,154.7%,128,162,64,25,72,451,90.2%,58.3%,64.49%,39.6%
"[13, 75, 200]",0.3843,0.1801,-0.0597,0.1123,0.3549,0.2956,0.2112,126.8%,85,98,58,27,45,313,62.6%,49.4%,64.15%,37.3%
"[15, 55, 100]",0.2601,0.2978,-0.1872,0.1712,0.3733,0.4051,0.22,132.0%,92,123,48,21,56,340,68.0%,51.5%,64.03%,37.1%
"[8, 60, 100]",0.1074,0.016,0.0353,0.1606,0.3415,0.8068,0.2446,146.8%,120,135,72,22,67,416,83.2%,56.7%,63.56%,40.5%
"[8, 75, 144]",-0.0193,0.196,-0.1165,0.2247,0.366,0.7752,0.2377,142.6%,125,127,55,24,67,398,79.6%,55.8%,63.01%,45.8%
"[8, 55, 89]",0.0082,0.2166,-0.2,0.4656,0.334,0.6774,0.2503,150.2%,126,158,58,25,71,438,87.6%,58.3%,62.57%,40.4%
"[15, 34, 100]",0.3681,0.515,-0.0995,0.1247,0.1819,0.7,0.2984,179.0%,164,190,108,30,93,585,117.0%,65.4%,62.03%,39.0%
"[13, 75, 150]",0.1928,0.1779,-0.0367,0.0885,0.4657,0.3168,0.2008,120.5%,83,92,53,23,44,295,59.0%,49.0%,61.49%,39.2%
"[15, 34, 89]",0.3489,0.5233,-0.1652,0.1024,0.2449,0.6972,0.2919,175.2%,163,183,104,30,92,572,114.4%,65.3%,60.75%,39.9%
"[13, 75, 233]",0.4004,0.154,-0.075,0.0738,0.366,0.3039,0.2038,122.3%,85,97,57,26,44,309,61.8%,50.5%,60.50%,37.9%
"[8, 55, 75]",-0.0053,0.2133,-0.2338,0.4642,0.3548,0.6658,0.2432,145.9%,121,156,57,25,69,428,85.6%,58.7%,60.29%,39.4%
"[15, 89, 144]",0.1175,-0.0025,0.0139,0.289,0.2806,0.3763,0.1791,107.5%,60,81,42,17,37,237,47.4%,44.1%,60.08%,33.9%
"[21, 40, 75]",0.4134,0.2704,-0.0029,0.2796,0.2435,0.3011,0.2508,150.5%,130,148,81,25,69,453,90.6%,60.2%,59.91%,40.2%
"[15, 55, 75]",0.2394,0.3289,-0.1571,0.1801,0.2848,0.3599,0.206,123.6%,87,111,47,21,54,320,64.0%,51.8%,59.60%,37.3%
"[21, 55, 150]",0.3373,0.5034,-0.0415,0.0126,0.4497,0.0636,0.2208,132.5%,94,135,59,33,44,365,73.0%,55.1%,59.51%,34.7%
"[21, 75, 100]",0.1616,0.0687,-0.0516,0.1038,0.4556,0.3054,0.1739,104.4%,66,67,36,20,36,225,45.0%,43.1%,59.35%,41.5%
"[21, 60, 200]",0.0569,0.1547,-0.0286,0.0955,0.4367,0.5279,0.2072,124.3%,91,115,47,20,55,328,65.6%,52.8%,58.72%,38.4%
"[15, 89, 150]",0.1175,-0.0148,0.015,0.289,0.2806,0.3763,0.1773,106.4%,61,82,42,17,37,239,47.8%,44.9%,58.56%,34.3%
"[13, 75, 144]",0.1928,0.1487,-0.0367,0.0701,0.4709,0.3168,0.1937,116.3%,83,91,54,23,43,294,58.8%,50.6%,57.45%,39.3%
"[21, 55, 75]",0.2683,0.5028,0.0828,0.0142,0.3291,-0.022,0.1959,117.5%,77,103,49,33,41,303,60.6%,51.6%,56.93%,34.1%
"[21, 75, 89]",0.1645,0.0687,-0.0591,0.0804,0.4315,0.317,0.1672,100.3%,64,67,36,19,34,220,44.0%,43.9%,56.32%,41.0%
"[21, 40, 50]",0.4247,0.1286,0.0226,0.3004,0.1397,0.3067,0.2205,132.3%,109,128,71,17,57,382,76.4%,57.8%,55.87%,39.9%
"[5, 60, 75]",0.2373,0.336,-0.1016,0.1082,0.1624,0.7661,0.2514,150.8%,139,160,70,28,79,476,95.2%,63.1%,55.64%,41.2%
"[5, 60, 89]",0.1544,0.2767,-0.0539,0.1126,0.2111,0.824,0.2542,152.5%,140,162,73,30,80,485,97.0%,63.6%,55.49%,40.6%
"[15, 55, 89]",0.2601,0.2978,-0.1908,0.181,0.2973,0.376,0.2035,122.1%,92,121,47,21,55,336,67.2%,55.0%,54.93%,37.7%
"[21, 60, 89]",0.0855,0.212,-0.0326,0.0294,0.3778,0.4215,0.1823,109.4%,76,98,36,28,35,273,54.6%,49.9%,54.76%,38.6%
"[8, 15, 34]",0.1475,0.6387,0.1858,-0.1467,0.882,0.9839,0.4485,269.1%,305,344,200,62,163,1074,214.8%,79.8%,54.32%,39.7%
"[5, 55, 89]",0.0715,0.3828,-0.0745,0.1291,0.2143,0.848,0.2619,157.1%,155,171,76,33,87,522,104.4%,66.4%,52.72%,42.2%
"[5, 55, 75]",0.0605,0.3835,-0.1291,0.1583,0.2165,0.8572,0.2578,154.7%,151,167,74,33,85,510,102.0%,65.9%,52.69%,42.1%
"[21, 55, 144]",0.3373,0.4832,-0.0417,0.0111,0.4497,0.0105,0.2083,125.0%,95,134,59,33,43,364,72.8%,58.2%,52.20%,35.3%
"[21, 60, 233]",0.0276,0.1708,-0.0271,0.0955,0.4232,0.4786,0.1948,116.9%,91,115,46,21,54,327,65.4%,56.0%,51.47%,38.6%
"[21, 60, 75]",0.0362,0.2711,-0.0229,0.0193,0.4102,0.3158,0.1716,103.0%,73,91,36,26,34,260,52.0%,50.5%,50.98%,39.0%
"[8, 89, 100]",0.2018,0.2476,0.1761,0.1941,0.1131,0.216,0.1914,114.9%,102,104,44,19,51,320,64.0%,55.7%,50.86%,46.8%
