average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[8, 25, 200]",0.9661,0.9327,0.1762,0.3187,0.5695,0.8766,0.64,384.0%,212,287,143,47,140,829,165.8%,43.2%,218.18%,34.4%
"[5, 25, 233]",1.0333,1.1446,0.2169,0.4216,0.5275,0.8172,0.6935,416.1%,266,339,168,57,168,998,199.6%,48.0%,216.50%,36.3%
"[8, 13, 100]",0.8191,1.4432,0.4794,0.4017,0.8929,1.3055,0.8903,534.2%,450,536,249,93,268,1596,319.2%,59.8%,214.99%,39.3%
"[21, 30, 34]",0.6329,0.2683,0.267,0.2694,0.6824,0.9389,0.5098,305.9%,99,172,86,18,87,462,92.4%,30.2%,213.50%,27.3%
"[8, 25, 40]",0.7104,1.0035,0.3988,0.0226,0.5885,0.6238,0.5579,334.8%,147,211,108,32,111,609,121.8%,36.4%,212.96%,31.8%
"[15, 30, 150]",0.4274,0.7351,0.0511,0.3191,0.8937,1.0627,0.5815,348.9%,172,220,128,43,117,680,136.0%,39.0%,212.91%,33.9%
"[5, 21, 40]",0.5618,1.0683,0.3138,0.068,0.674,1.2176,0.6506,390.4%,228,306,148,54,159,895,179.0%,45.9%,211.35%,34.2%
"[5, 25, 50]",0.8627,1.3954,0.4936,0.0152,0.3479,0.6545,0.6282,376.9%,207,298,141,47,146,839,167.8%,44.5%,209.13%,32.8%
"[8, 25, 75]",0.969,1.1922,0.2325,0.1124,0.4135,0.6316,0.5919,355.1%,176,259,126,41,131,733,146.6%,41.3%,208.52%,31.6%
"[5, 21, 55]",0.5599,1.2111,0.3502,0.0177,0.706,1.236,0.6801,408.1%,254,352,163,61,169,999,199.8%,49.0%,208.28%,34.1%
"[8, 13, 75]",0.8159,1.2643,0.354,0.4138,1.124,1.2783,0.8751,525.0%,448,531,252,93,263,1587,317.4%,60.5%,207.63%,39.3%
"[5, 21, 100]",0.5944,1.1566,0.3791,0.1416,0.671,1.2796,0.7037,422.2%,277,371,177,68,181,1074,214.8%,50.9%,207.44%,34.8%
"[8, 25, 233]",0.9598,0.8826,0.186,0.3109,0.6534,0.7473,0.6233,374.0%,214,287,144,49,139,833,166.6%,44.5%,207.40%,34.6%
"[5, 13, 75]",0.9385,1.2185,0.1608,0.3256,1.1506,1.3428,0.8561,513.7%,424,520,253,85,255,1537,307.4%,59.8%,206.27%,38.1%
"[13, 30, 144]",0.3895,0.4212,0.1532,0.3599,0.9667,1.0944,0.5642,338.5%,165,221,122,40,115,663,132.6%,39.2%,205.89%,33.1%
"[15, 30, 50]",0.5457,0.6582,0.0966,0.0671,0.7849,0.9599,0.5187,311.2%,127,177,94,36,94,528,105.6%,33.9%,205.62%,31.7%
"[8, 25, 34]",0.5861,0.8565,0.3659,0.0979,0.4809,0.7199,0.5179,310.7%,127,186,92,27,99,531,106.2%,34.2%,204.53%,31.4%
"[5, 15, 75]",0.5411,1.1575,0.5074,0.1272,0.9393,1.4482,0.7868,472.1%,391,441,210,69,228,1339,267.8%,56.7%,204.25%,41.2%
"[10, 30, 50]",0.5557,0.6725,0.1899,0.2389,0.5359,0.9234,0.5194,311.6%,133,181,82,40,101,537,107.4%,34.5%,204.24%,32.9%
"[15, 21, 200]",0.398,0.7171,0.3989,0.3886,0.7909,1.5359,0.7049,423.0%,303,371,183,70,171,1098,219.6%,51.9%,203.35%,38.1%
"[10, 13, 34]",0.2074,1.0736,0.4646,0.4235,2.3457,1.1906,0.9509,570.5%,505,609,320,117,286,1837,367.4%,64.4%,203.13%,37.9%
"[13, 15, 40]",0.6881,1.5491,0.0546,0.5191,1.3981,1.6355,0.9741,584.4%,537,628,331,104,307,1907,381.4%,65.3%,203.04%,39.2%
"[5, 13, 233]",1.0632,1.0552,0.2013,0.3782,1.0388,1.3813,0.853,511.8%,434,518,250,87,255,1544,308.8%,60.3%,202.99%,39.1%
"[8, 13, 60]",0.764,1.2804,0.3736,0.333,1.2179,1.1875,0.8594,515.6%,442,529,248,93,257,1569,313.8%,60.9%,201.83%,39.2%
"[15, 30, 55]",0.5373,0.6402,0.0963,0.1243,0.7882,0.9377,0.5207,312.4%,137,183,98,38,97,553,110.6%,35.4%,201.80%,32.9%
"[8, 25, 150]",0.8598,0.9806,0.1995,0.2309,0.6267,0.7341,0.6053,363.2%,212,284,132,44,139,811,162.2%,44.7%,200.96%,35.4%
"[5, 21, 75]",0.5398,1.2005,0.2814,0.0432,0.7254,1.2763,0.6778,406.7%,263,356,171,64,175,1029,205.8%,50.6%,200.86%,34.3%
"[5, 13, 89]",0.931,1.3868,0.1244,0.3108,1.0592,1.2808,0.8488,509.3%,432,518,254,85,256,1545,309.0%,60.7%,200.30%,38.8%
"[5, 13, 100]",0.9097,1.4028,0.1692,0.3238,0.9085,1.3785,0.8487,509.3%,433,522,252,84,258,1549,309.8%,60.8%,199.45%,38.8%
"[5, 15, 60]",0.6087,1.0608,0.5131,0.0046,1.0533,1.395,0.7726,463.6%,381,438,211,70,222,1322,264.4%,57.0%,199.15%,40.5%
