date,open,high,low,close,volume,signal
2019-03-25 17:00:00.000,16.337,16.6528,16.2826,16.6061,127462.37,
2019-03-25 18:00:00.000,16.6034,16.8421,16.559,16.7631,112043.19,
2019-03-25 19:00:00.000,16.7761,16.8,16.6247,16.7444,102002.7,
2019-03-25 20:00:00.000,16.7444,16.774,16.647000000000002,16.6925,90020.39,
2019-03-25 21:00:00.000,16.6926,16.7871,16.6104,16.6181,108413.85,
2019-03-25 22:00:00.000,16.62,16.66,16.49,16.5038,107853.38,
2019-03-25 23:00:00.000,16.5039,16.6161,16.4725,16.4799,97410.74,
2019-03-26 00:00:00.000,16.48,16.584,16.4183,16.4299,119710.51,
2019-03-26 01:00:00.000,16.4184,16.4277,16.26,16.325,84590.12,
2019-03-26 02:00:00.000,16.3245,16.3728,16.2,16.2,125894.91,
2019-03-26 03:00:00.000,16.2085,16.3452,16.2,16.328,105560.8,
2019-03-26 04:00:00.000,16.3383,16.3988,16.2,16.2129,103457.63,
2019-03-26 05:00:00.000,16.2099,16.316,16.2,16.2726,103267.8,
2019-03-26 06:00:00.000,16.27,16.28,16.0579,16.08,138679.82,
2019-03-26 07:00:00.000,16.0806,16.0852,15.5716,15.6468,331450.52,
2019-03-26 08:00:00.000,15.6462,15.9291,15.5301,15.9,228005.35,
2019-03-26 09:00:00.000,15.8886,16.0999,15.7554,15.9329,224581.3,
2019-03-26 10:00:00.000,15.9355,15.95,15.7701,15.9043,85383.02,
2019-03-26 11:00:00.000,15.9051,15.9997,15.8112,15.9945,60717.38,
2019-03-26 12:00:00.000,15.9945,16.2377,15.9453,16.2377,110543.33,
2019-03-26 13:00:00.000,16.2267,16.2879,16.0528,16.0894,50498.28,
2019-03-26 14:00:00.000,16.0931,16.2431,15.9501,16.1504,121690.34,
2019-03-26 15:00:00.000,16.1504,16.2278,16.0723,16.195999999999998,47788.96,
2019-03-26 16:00:00.000,16.1958,16.2622,16.1121,16.186,59998.45,
2019-03-26 17:00:00.000,16.1926,16.3157,16.1608,16.2555,48936.45,
2019-03-26 18:00:00.000,16.2486,16.2486,16.1015,16.1998,68689.65,
2019-03-26 19:00:00.000,16.1928,16.1979,15.8697,16.0437,164995.07,
2019-03-26 20:00:00.000,16.0437,16.4216,16.0431,16.3515,137864.44,
2019-03-26 21:00:00.000,16.3675,16.4583,16.27,16.2803,79532.46,
2019-03-26 22:00:00.000,16.279,16.3752,16.2376,16.3752,85273.71,
2019-03-26 23:00:00.000,16.3752,16.4041,16.2705,16.3347,90539.59,
2019-03-27 00:00:00.000,16.3468,16.4436,16.25,16.4039,111661.53,
2019-03-27 01:00:00.000,16.4045,16.44,16.3618,16.44,97130.8,
2019-03-27 02:00:00.000,16.44,16.75,16.4364,16.7492,197141.15,
2019-03-27 03:00:00.000,16.7482,16.8297,16.46,16.6213,178443.1,
2019-03-27 04:00:00.000,16.6338,16.6942,16.4931,16.6328,94967.92,
2019-03-27 05:00:00.000,16.646,16.78,16.5862,16.6744,107404.97,
2019-03-27 06:00:00.000,16.673,16.77,16.612000000000002,16.744,107584.78,
2019-03-27 07:00:00.000,16.7688,16.7799,16.56,16.5662,168890.56,
2019-03-27 08:00:00.000,16.57,16.6563,16.54,16.6338,171490.53,
2019-03-27 09:00:00.000,16.6396,16.6734,16.5257,16.6024,137604.69,
2019-03-27 10:00:00.000,16.5999,16.67,16.5489,16.6397,117465.39,
2019-03-27 11:00:00.000,16.6372,16.7346,16.5906,16.6671,165258.79,
2019-03-27 12:00:00.000,16.6671,16.7299,16.6296,16.6479,141904.59,
2019-03-27 13:00:00.000,16.6567,16.6934,16.5977,16.6077,147753.99,
2019-03-27 14:00:00.000,16.6077,16.6652,16.553,16.5601,111994.6,
2019-03-27 15:00:00.000,16.553,16.618,16.43,16.6106,152516.84,
2019-03-27 16:00:00.000,16.618,16.6557,16.5604,16.6212,157525.51,
2019-03-27 17:00:00.000,16.6205,16.6308,16.55,16.5747,135835.19,
2019-03-27 18:00:00.000,16.567,16.6216,16.4636,16.6,180134.05,
2019-03-27 19:00:00.000,16.6,16.613,16.45,16.535,87595.38,
2019-03-27 20:00:00.000,16.5187,16.525,16.4708,16.5,113529.39,
2019-03-27 21:00:00.000,16.5,16.5204,16.4676,16.5146,110770.94,
2019-03-27 22:00:00.000,16.5146,16.6029,16.4896,16.555999999999994,123933.76,
2019-03-27 23:00:00.000,16.5528,16.5603,16.401,16.4795,127000.62,
2019-03-28 00:00:00.000,16.4783,16.5265,16.4258,16.4901,119479.6,
2019-03-28 01:00:00.000,16.479,16.55,16.4567,16.5395,102057.01,
2019-03-28 02:00:00.000,16.5395,16.6099,16.4908,16.5677,177627.99,
2019-03-28 03:00:00.000,16.5801,16.6617,16.555,16.6159,118862.06,
2019-03-28 04:00:00.000,16.615,16.62,16.5001,16.62,112638.33,
2019-03-28 05:00:00.000,16.62,16.7188,16.61,16.6498,137501.67,
2019-03-28 06:00:00.000,16.6498,16.6799,16.6072,16.6368,134170.96,
2019-03-28 07:00:00.000,16.6398,16.6671,16.6162,16.6579,200175.06,
