,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
1617,10,10,20,36,31682.272559908197
1618,10,10,22,36,31665.53237368781
1619,10,10,24,36,34700.29998496889
1620,2,2,6,48,18170.62772181587
1621,2,2,8,48,32210.008546925965
1622,2,2,10,48,32389.676312889904
1623,2,2,12,48,33854.335449575614
1624,2,2,14,48,32658.399999241206
1625,2,2,16,48,34404.116691624455
1626,2,2,18,48,35961.41987168706
1627,2,2,20,48,35961.41987168706
1628,2,2,22,48,35961.41987168706
1629,2,2,24,48,35961.41987168706
1630,2,3,6,48,22261.029437567697
1631,2,3,8,48,34712.407390296794
1632,2,3,10,48,35455.92627109458
1633,2,3,12,48,34350.07911949297
1634,2,3,14,48,33749.62282367154
1635,2,3,16,48,35339.47727169762
1636,2,3,18,48,35961.41987168706
1637,2,3,20,48,35961.41987168706
1638,2,3,22,48,35961.41987168706
1639,2,3,24,48,35961.41987168706
1640,2,4,6,48,25785.99729916796
1641,2,4,8,48,31993.233170506628
1642,2,4,10,48,37513.940925931776
1643,2,4,12,48,30983.034248135424
1644,2,4,14,48,34330.56160106966
1645,2,4,16,48,35961.41987168706
1646,2,4,18,48,35961.41987168706
1647,2,4,20,48,35961.41987168706
1648,2,4,22,48,35961.41987168706
1649,2,4,24,48,35961.41987168706
1650,2,5,6,48,32129.938832251737
1651,2,5,8,48,31382.804328458875
1652,2,5,10,48,36163.89967655687
1653,2,5,12,48,34043.950223160085
1654,2,5,14,48,35403.09736021768
1655,2,5,16,48,35961.41987168706
1656,2,5,18,48,35961.41987168706
1657,2,5,20,48,35961.41987168706
1658,2,5,22,48,35961.41987168706
1659,2,5,24,48,35961.41987168706
1660,2,6,6,48,32243.005399772643
1661,2,6,8,48,36506.05973746548
1662,2,6,10,48,34482.16429839168
1663,2,6,12,48,35143.33938085308
1664,2,6,14,48,35398.1140829279
1665,2,6,16,48,35961.41987168706
1666,2,6,18,48,35961.41987168706
1667,2,6,20,48,35961.41987168706
1668,2,6,22,48,35961.41987168706
1669,2,6,24,48,35961.41987168706
1670,2,7,6,48,35169.337159243565
1671,2,7,8,48,38329.342602666795
1672,2,7,10,48,34106.04022349525
1673,2,7,12,48,34893.25819287486
1674,2,7,14,48,35142.588833315574
1675,2,7,16,48,35961.41987168706
1676,2,7,18,48,35961.41987168706
1677,2,7,20,48,35961.41987168706
1678,2,7,22,48,35961.41987168706
1679,2,7,24,48,35961.41987168706
1680,2,8,6,48,36252.53236849394
1681,2,8,8,48,35439.27817769507
1682,2,8,10,48,34792.61946748001
1683,2,8,12,48,35403.09736021768
1684,2,8,14,48,35142.588833315574
