date,available_capital,capital_locked_in_trades,total_capital,trades_open
2018-08-26 16:00:00,18.378581245609336,0.0,18.378581245609336,0
2018-08-26 17:00:00,18.378581245609336,0.0,18.378581245609336,0
2018-08-26 18:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-26 19:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-26 20:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-26 21:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-26 22:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-26 23:00:00,16.526939185114195,1.837858124560934,18.36479730967513,1
2018-08-27 00:00:00,16.624058206189506,1.745965218332887,18.370023424522394,1
2018-08-27 01:00:00,16.624058206189506,1.745965218332887,18.370023424522394,1
2018-08-27 02:00:00,16.624058206189506,1.745965218332887,18.370023424522394,1
2018-08-27 03:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 04:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 05:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 06:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 07:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 08:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 09:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 10:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 11:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 12:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 13:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 14:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 15:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 16:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 17:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 18:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 19:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 20:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 21:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 22:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-27 23:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 00:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 01:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 02:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 03:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 04:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 05:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 06:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 07:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 08:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 09:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 10:00:00,18.374388337568227,0.0,18.374388337568227,0
