ticker,price,stop_loss,net_profit,pct,tp
ETH-BTC,0.054673,0.0559,0.0005610630475737562,0.02244252190295025,1
ADA-BTC,2.154e-05,2.099e-05,0.0006383472609099348,0.02553389043639739,1
ETH-USDT,382.19,391.89,-0.025380046573693683,0.025380046573693683,0
XRP-BTC,6.957e-05,7.082e-05,-0.01796751473336213,0.01796751473336213,0
LTC-BTC,0.01744,0.016630000000000002,0.044122706422018244,0.04644495412844026,2
BTC-USDT,7350.0,7223.0,-0.01727891156462585,0.01727891156462585,0
ETH-BTC,0.054688,0.055731,0.0004767956407255716,0.019071825629022862,1
LTC-BTC,0.017456,0.017169,0.015619271310724055,0.016441338221814795,2
BTC-USDT,6760.96,6899.0,0.0005104304714123437,0.02041721885649375,1
ETH-USDT,368.23,385.91,-0.048013469842218194,0.048013469842218194,0
BTC-USDT,6622.05,6850.0,0.0008605718772887543,0.03442287509155017,1
ADA-BTC,2.134e-05,2.185e-05,-0.023898781630740405,0.023898781630740405,0
XRP-BTC,7.114e-05,7.189e-05,0.010015462468372285,0.010542592071970827,2
XRP-BTC,7.034e-05,7.15e-05,0.0004122831959056047,0.016491327836224187,1
BTC-USDT,7027.0,6937.03,0.012163298704995053,0.012803472321047425,2
EOS-BTC,0.00083918,0.0008539999999999999,-0.017660096761123855,0.017660096761123855,0
ADA-BTC,2.226e-05,2.18e-05,0.019631626235399775,0.02066486972147345,2
BTC-USDT,6761.99,6820.0,-0.00857883552031284,0.00857883552031284,0
ETH-USDT,399.56,391.4,0.019401341475623245,0.020422464711182364,2
ETH-BTC,0.059511,0.0584,0.017735376653055752,0.01866881752953237,2
XRP-BTC,7.167e-05,7.09e-05,0.010206502023161639,0.010743686340170146,2
XRP-BTC,7.170000000000001e-05,7.09e-05,0.00027894002789400485,0.011157601115760193,1
XRP-BTC,7.209999999999999e-05,7.09e-05,0.00041608876560332483,0.016643550624132992,1
LTC-BTC,0.01598,0.016933,-0.059637046307884786,0.059637046307884786,0
BTC-USDT,7690.0,6743.2,0.11696488946684007,0.12312093628088429,2
XRP-BTC,7.435e-05,7.152e-05,0.03616005379959648,0.03806321452589103,2
XRP-BTC,7.579e-05,7.152e-05,0.053522892202137455,0.056339886528565745,2
ETH-BTC,0.06263300000000001,0.059331,0.0013179953059888581,0.052719812239554326,1
LTC-BTC,0.015903999999999998,0.016341,-0.02747736418511088,0.02747736418511088,0
ETH-BTC,0.062912,0.0621,0.0003226729399796515,0.012906917599186059,1
BTC-USDT,8060.22,7849.46,0.024840761170290663,0.02614816965293754,2
ETH-USDT,502.68,487.38,0.02891501551682981,0.030436858438768224,2
ETH-BTC,0.063013,0.061701,0.0005205275101963089,0.020821100407852358,1
XRP-BTC,8.114e-05,7.935e-05,0.020957604140990817,0.02206063593788507,2
