date,ticker,signal,price,stop_loss,tp
2018-07-12 00:00:00.000,ADA-BTC,short,2.025e-05,2.062e-05,1
2018-07-12 01:00:00,BTC-USDT,short,6210.18,6381.08,1
2018-07-12 04:00:00.000,ETH-USDT,short,433.48,445.42,1
2018-07-13 21:00:00,BTC-USDT,short,6228.0,6347.38,0
2018-07-15 05:00:00.000,ADA-BTC,long,2.209e-05,2.154e-05,2
2018-07-15 08:00:00.000,LTC-BTC,short,0.012135,0.012323,0
2018-07-17 09:00:00.000,XRP-BTC,long,7.08e-05,7.01e-05,0
2018-07-18 11:00:00.000,EOS-BTC,long,0.0012008,0.0011886,1
2018-07-19 13:00:00,BTC-USDT,long,7427.0,7291.37,2
2018-07-22 02:00:00.000,LTC-BTC,short,0.011166,0.01138,1
2018-07-22 04:00:00.000,EOS-BTC,short,0.0010826,0.0010954,0
2018-07-22 07:00:00.000,EOS-BTC,short,0.0010868,0.0010965,2
2018-07-24 22:00:00.000,LTC-BTC,short,0.010518,0.01075,1
2018-07-26 01:00:00.000,ETH-USDT,long,483.3,471.01,0
2018-07-26 05:00:00,BTC-USDT,long,8290.47,8169.26,0
2018-07-26 08:00:00.000,XRP-BTC,short,5.599e-05,5.668e-05,0
2018-07-26 13:00:00.000,ADA-BTC,short,2.073e-05,2.128e-05,1
2018-07-28 20:00:00.000,XRP-BTC,short,5.507e-05,5.564e-05,0
2018-07-28 22:00:00.000,LTC-BTC,short,0.010204,0.01031,2
2018-07-29 09:00:00,BTC-USDT,long,8215.97,8115.0,1
2018-07-29 15:00:00.000,LTC-BTC,short,0.01019,0.010283,0
2018-07-29 21:00:00.000,EOS-BTC,short,0.001003,0.00103,2
2018-07-29 21:00:00.000,ADA-BTC,short,1.967e-05,1.995e-05,2
2018-07-30 04:00:00.000,LTC-BTC,short,0.010175,0.010304,1
2018-07-30 04:00:00.000,ETH-BTC,short,0.056403,0.057074,1
2018-07-30 10:00:00.000,XRP-BTC,short,5.503e-05,5.58e-05,0
2018-07-30 14:00:00.000,XRP-BTC,short,5.477e-05,5.59e-05,1
2018-08-01 16:00:00.000,ADA-BTC,short,1.822e-05,1.875e-05,2
2018-08-02 10:00:00,BTC-USDT,short,7524.79,7699.0,2
2018-08-04 00:00:00.000,XRP-BTC,long,5.937e-05,5.877e-05,2
2018-08-04 07:00:00,BTC-USDT,short,7255.0,7494.81,2
2018-08-04 08:00:00.000,ETH-USDT,short,410.36,419.41,2
2018-08-04 08:00:00.000,ADA-BTC,short,1.754e-05,1.783e-05,0
2018-08-04 08:00:00.000,XRP-BTC,long,6.017e-05,5.882e-05,2
2018-08-06 04:00:00.000,ETH-BTC,long,0.058329,0.057658,1
2018-08-06 07:00:00,BTC-USDT,short,6965.27,7153.55,1
2018-08-06 08:00:00.000,ETH-USDT,short,405.14,412.47,2
2018-08-06 08:00:00.000,EOS-BTC,long,0.0010055,0.0009941,2
2018-08-09 09:00:00.000,ETH-BTC,short,0.056164,0.057188,1
2018-08-09 17:00:00.000,XRP-BTC,short,5.290000000000001e-05,5.446e-05,2
2018-08-09 22:00:00.000,EOS-BTC,short,0.000875,0.0009049,1
2018-08-10 04:00:00.000,ETH-USDT,short,357.27,368.93,2
2018-08-12 09:00:00.000,EOS-BTC,short,0.0008,0.0008148,2
2018-08-12 09:00:00.000,ADA-BTC,short,1.774e-05,1.795e-05,1
2018-08-12 13:00:00.000,EOS-BTC,short,0.0007851,0.0008148,2
2018-08-12 13:00:00.000,XRP-BTC,short,4.748e-05,4.854e-05,1
2018-08-12 17:00:00.000,ETH-BTC,short,0.050381,0.051246000000000014,2
2018-08-12 17:00:00.000,ADA-BTC,short,1.761e-05,1.786e-05,2
2018-08-12 19:00:00.000,LTC-BTC,short,0.009374,0.009494,2
2018-08-15 22:00:00.000,ETH-BTC,short,0.044891,0.046148,0
2018-08-16 19:00:00,BTC-USDT,long,6347.93,6228.0,2
2018-08-19 06:00:00.000,LTC-BTC,short,0.008898999999999999,0.009067,0
2018-08-22 13:00:00.000,EOS-BTC,short,0.0007364,0.0007618999999999999,1
2018-08-22 14:00:00.000,LTC-BTC,short,0.008556999999999999,0.0087,0
2018-08-23 05:00:00.000,LTC-BTC,short,0.008595,0.008705,2
2018-08-23 10:00:00.000,LTC-BTC,short,0.008598,0.0087,0
2018-08-23 19:00:00.000,XRP-BTC,short,4.971e-05,5.03e-05,1
2018-08-23 21:00:00.000,ETH-BTC,short,0.042242,0.043230000000000005,1
2018-08-24 11:00:00.000,ADA-BTC,short,1.401e-05,1.428e-05,2
2018-08-25 18:00:00,BTC-USDT,long,6733.64,6663.03,1
2018-08-26 07:00:00.000,XRP-BTC,short,4.831e-05,4.882e-05,1
2018-08-26 18:00:00,BTC-USDT,long,6700.0,6627.16,1
2018-08-30 22:00:00.000,EOS-BTC,long,0.0008663999999999999,0.0008533999999999999,2
2018-08-31 10:00:00.000,XRP-BTC,short,4.741e-05,4.786e-05,0
2018-09-03 13:00:00.000,ADA-BTC,short,1.427e-05,1.444e-05,0
2018-09-03 15:00:00,BTC-USDT,long,7305.3,7214.64,2
2018-09-05 03:00:00.000,ADA-BTC,short,1.423e-05,1.449e-05,2
2018-09-07 04:00:00.000,ETH-BTC,short,0.034798,0.035899,2
2018-09-08 07:00:00.000,ETH-USDT,short,217.07,219.83,2
2018-09-08 11:00:00.000,ADA-BTC,short,1.282e-05,1.306e-05,2
2018-09-08 12:00:00.000,LTC-BTC,short,0.008546,0.008870999999999999,0
2018-09-08 12:00:00.000,EOS-BTC,short,0.0007725,0.000799,1
2018-09-09 12:00:00.000,XRP-BTC,short,4.444e-05,4.538e-05,1
2018-09-09 17:00:00.000,ADA-BTC,short,1.218e-05,1.264e-05,2
2018-09-09 19:00:00.000,XRP-BTC,short,4.411e-05,4.538e-05,2
2018-09-10 03:00:00.000,ADA-BTC,short,1.203e-05,1.249e-05,2
2018-09-10 04:00:00,BTC-USDT,short,6300.08,6373.98,1
2018-09-10 07:00:00.000,ETH-BTC,short,0.031063,0.031811,2
2018-09-11 09:00:00,BTC-USDT,short,6204.15,6366.66,0
2018-09-15 00:00:00.000,ADA-BTC,short,1.045e-05,1.068e-05,0
2018-09-15 01:00:00.000,ADA-BTC,short,1.043e-05,1.068e-05,0
2018-09-15 03:00:00,BTC-USDT,long,6512.89,6449.38,1
2018-09-16 14:00:00.000,EOS-BTC,long,0.0008408,0.0008173999999999999,0
2018-09-16 15:00:00.000,LTC-BTC,long,0.008783,0.008624,1
2018-09-16 16:00:00.000,XRP-BTC,long,4.331e-05,4.2700000000000015e-05,1
2018-09-17 21:00:00.000,XRP-BTC,long,4.352e-05,4.275e-05,1
2018-09-19 07:00:00.000,LTC-BTC,short,0.00837,0.008618,0
2018-09-19 08:00:00,BTC-USDT,short,6289.94,6369.04,2
2018-09-19 10:00:00.000,ETH-BTC,long,0.033101,0.032434,0
2018-09-20 16:00:00.000,LTC-BTC,short,0.008435,0.008555,0
2018-09-23 04:00:00.000,ETH-BTC,long,0.036495,0.0354,0
2018-09-23 04:00:00.000,EOS-BTC,long,0.0008992000000000002,0.0008684,0
2018-09-27 03:00:00,BTC-USDT,short,6465.0,6530.0,0
2018-09-27 04:00:00.000,ETH-BTC,short,0.032832,0.033645,0
2018-09-29 04:00:00.000,ADA-BTC,long,1.276e-05,1.248e-05,2
2018-09-29 07:00:00.000,LTC-BTC,long,0.009377,0.009117,1
2018-10-03 12:00:00.000,EOS-BTC,short,0.0008527000000000001,0.0008648999999999999,0
2018-10-04 14:00:00.000,XRP-BTC,short,8.09e-05,8.219e-05,2
2018-10-04 18:00:00.000,ETH-BTC,short,0.033777,0.03419,1
2018-10-04 20:00:00.000,LTC-BTC,short,0.008844,0.008976000000000001,1
2018-10-04 20:00:00.000,ADA-BTC,short,1.238e-05,1.25e-05,1
2018-10-04 21:00:00.000,ETH-USDT,short,221.55,225.72,0
2018-10-05 07:00:00.000,EOS-BTC,long,0.0008707000000000001,0.0008599,1
2018-10-05 17:00:00,BTC-USDT,long,6633.33,6575.0,0
2018-10-06 08:00:00.000,LTC-BTC,short,0.008732,0.00893,0
2018-10-08 21:00:00.000,XRP-BTC,short,7.306e-05,7.423e-05,2
