average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[5, 13, 50]",0.8125,1.0338,0.1526,0.1227,1.0739,1.1364,0.7220,4.3319,413,503,249,84,233,1482
"[5, 15, 100]",0.4278,1.0808,0.4750,0.0487,0.8434,1.4281,0.7173,4.3039,418,441,219,71,228,1377
"[15, 21, 50]",0.2770,0.7557,0.3891,0.4517,1.2653,1.1548,0.7156,4.2936,259,341,169,59,160,988
"[8, 15, 233]",0.5504,0.6030,0.3314,0.1035,1.0659,1.6368,0.7151,4.2909,397,438,235,74,218,1362
"[15, 21, 40]",0.2309,0.6431,0.4039,0.4508,1.3255,1.2332,0.7146,4.2874,243,318,151,56,158,926
"[10, 15, 50]",0.6479,0.8737,0.1617,-0.0645,1.2184,1.4423,0.7133,4.2795,376,490,275,82,216,1439
"[8, 15, 150]",0.2832,0.9249,0.3109,0.1451,0.8385,1.7746,0.7129,4.2772,392,442,231,72,218,1355
"[15, 21, 200]",0.3980,0.7171,0.3989,0.3886,0.7909,1.5359,0.7049,4.2295,303,371,183,70,171,1098
"[5, 21, 100]",0.5944,1.1566,0.3791,0.1416,0.6710,1.2796,0.7037,4.2224,277,371,177,68,181,1074
"[21, 30, 200]",0.6256,0.5517,0.2172,0.4032,0.9764,1.4245,0.6998,4.1987,198,276,151,42,137,804
"[5, 25, 200]",1.0251,1.1990,0.2071,0.3429,0.4931,0.9241,0.6985,4.1913,265,335,167,56,168,991
"[21, 30, 55]",0.7207,0.5118,0.3326,0.3162,1.0204,1.2793,0.6968,4.1810,154,245,123,37,124,683
"[8, 15, 75]",0.3657,0.8279,0.3355,0.1397,0.8713,1.6365,0.6961,4.1766,360,438,225,71,207,1301
"[21, 30, 50]",0.7439,0.4755,0.3419,0.2620,1.0167,1.3324,0.6954,4.1725,141,240,117,33,120,651
