average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC
"[2, 8, 76]",2.091781737579901,1.4055837557539081,0.16771088264107653,-0.20583584170481795,2.0083828816621825,2.46704595414786
"[2, 10, 20]",0.4250522489017505,0.34683184895815244,0.23451066254510325,-0.20238303163881183,1.3405743246423039,1.3855470026522356
"[2, 10, 24]",0.24745828748186394,0.30522922027196797,0.3467467573341403,-0.05762835865392903,1.4821241256056201,1.5588266131487538
"[2, 10, 28]",0.44333290265389713,0.2263631363858818,0.39767157919962703,0.009231985052026492,1.3054763490270993,1.629933192128692
"[2, 10, 32]",0.6644955950133558,0.3714622886531469,0.413541932987721,0.12653312622525412,1.2924576167092066,1.4924649804099723
"[2, 10, 36]",0.83351485293566,0.4933397652557226,0.515243534791595,-0.0009174957099060965,1.295947887349506,1.4436553983547749
"[2, 10, 40]",0.8040609192223656,0.464888691971745,0.5752011321016278,-0.12291869748184964,1.2304500526767321,1.6259036714958521
"[2, 10, 44]",0.8607263630014265,0.5469219684811681,0.5007600823266337,-0.17707450265427982,1.298493765792111,1.6180840588722503
"[2, 10, 48]",0.7877389885642979,0.5665442674175999,0.4936482496488125,-0.14561725303722844,1.1466302724237671,1.610067411028711
"[2, 10, 52]",0.8560032806340603,0.6655846408161256,0.6460889752570634,-0.18264773328320788,1.1284236574368158,1.621850383912625
"[2, 10, 56]",0.869295816726682,0.626992604095415,0.6576910988879545,-0.1792193901995657,1.0727214555585245,1.6980807931178479
"[2, 10, 60]",0.9413841464012915,0.7700515879325022,0.6921590279867055,-0.15783863137369458,1.008407436208917,1.7762736282957707
"[2, 10, 64]",0.9005123140746033,0.9699785777632212,0.7163297050018913,-0.17650175457099976,0.9801188899003581,1.8365862468112486
"[2, 10, 68]",1.0044779600575762,1.0226482236716135,0.6358251963939805,-0.19661334218365029,0.9822447805416425,2.1636228575124536
"[2, 10, 72]",0.8804440129732551,0.8906711458896852,0.6096193342704652,-0.22798903532091883,0.9480931744844624,2.348556078610647
"[2, 10, 76]",0.9404181749768759,0.9133825968623955,0.6202535256393379,-0.2001325242213718,0.9604148207653912,2.3831178795971333
"[2, 12, 20]",0.2668335764937978,0.7224721206093678,-0.029965674126320285,-0.11041362637374834,1.216896026123825,1.2934184993117928
"[2, 12, 24]",0.5346191375861042,0.6038877161621338,0.011830631612318697,-0.10137312916241013,1.4611156939110153,1.286537880228668
"[2, 12, 28]",0.3588606735748955,0.8327364005088962,0.11331825547926434,-0.1590226633284419,1.4767905300192292,1.4538022401815338
"[2, 12, 32]",0.4001947091877751,0.6542574555879618,0.21981485756682928,-0.10285715498981539,1.419583303549603,1.3070915500480236
"[2, 12, 36]",0.5001028913010592,0.7118345899243301,0.20782712403936743,0.06542628646667184,1.4354423021151907,1.3046839473984804
"[2, 12, 40]",0.5533309812261058,0.779954998378356,0.19012487609237105,-0.05068167257343302,1.2882492257858087,1.3183987085953852
"[2, 12, 44]",0.648780644374757,0.7200412682869173,0.3469743143706949,-0.10952803958434637,1.3449901980998482,1.3598405686646957
"[2, 12, 48]",0.6759727931141966,0.8157718238108049,0.39431097374143376,-0.15391865280786743,1.2817337577012442,1.4894644119329628
"[2, 12, 52]",0.8266670144255707,0.8201850203547144,0.3667222305999076,-0.1742134731426243,1.2214107512462788,1.4345898871300928
"[2, 12, 56]",0.7948864161572186,0.9000519069802112,0.3874201281924432,-0.09884916220819032,1.1886814915673565,1.6254964469905815
"[2, 12, 60]",0.7720452188129918,0.9646786890277654,0.4522794796801289,-0.06211320179907867,1.3873359649023462,1.6856524589900377
"[2, 12, 64]",0.9118077382577101,0.9870198263051198,0.3935819195802419,-0.10156859745132692,1.3556585682088085,1.7439162486107462
"[2, 12, 68]",0.936887501605479,1.0690286453009017,0.3969999526983743,-0.2061382298688707,1.3283041778187545,1.8387596515611069
"[2, 12, 72]",0.8508197161491982,1.2245896088670611,0.3427011583255847,-0.28750017154303403,1.3444666765778823,1.7936163874490259
"[2, 12, 76]",0.8781430392331274,1.1545349394829336,0.37898790633407514,-0.3020138010520501,1.3676359246805478,1.7366459147402509
"[2, 14, 20]",0.1383008991363423,0.252854606071083,0.050518984313651094,-0.03414375033481602,1.3338800875126344,0.8245909452528868
"[2, 14, 24]",0.13792260596319378,0.26825077440084055,0.11831200105097578,-0.0034959385648067054,1.4729513023853733,0.8556747180443443
"[2, 14, 28]",0.2363108983093138,0.23917876826690634,0.20625563221448212,0.05097850059523492,1.3132353356580997,0.747254779275879
"[2, 14, 32]",0.3488551119495368,0.13202033209341263,0.32737632175658227,0.15184599092085907,1.2220480286241409,0.7424979443427018
"[2, 14, 36]",0.3676123792028255,0.3111821889090118,0.43177173764502086,0.13834978123771413,1.1328743291982462,0.7768651392573382
"[2, 14, 40]",0.45836438585475187,0.3988544580392246,0.3875688059098228,0.056880749679661786,0.9804985534838193,0.8689560237087715
"[2, 14, 44]",0.4684244499944901,0.49260011732438946,0.46597315960088265,-0.054736888125849814,1.0170165612502111,0.9706036480023577
"[2, 14, 48]",0.4788755263016369,0.44877808002292324,0.46364318700863905,-0.0649252495709848,1.0161916007359715,0.9151067559675286
"[2, 14, 52]",0.6827768454064941,0.5194866820102659,0.5351084729980623,-0.014043027069118669,0.9483769786536009,0.9866615875870388
"[2, 14, 56]",0.6301950769584151,0.6050601863863041,0.5593542214285379,-0.012693732793219864,0.8292381179061572,1.0853440633978433
"[2, 14, 60]",0.7693084317616941,0.6758064402183208,0.5416011196552204,0.027551026152027813,0.7506710523037963,1.1727824453227222
"[2, 14, 64]",0.7505846878288227,0.7350257898980221,0.5492984181264751,-0.11803879628296468,0.7056502378037037,1.189763535214041
"[2, 14, 68]",0.7737316354889694,0.8682624183463099,0.6199684124874496,-0.10173212786271638,0.7768323751310667,1.163922519248993
"[2, 14, 72]",0.7690202782131778,0.79829558017062,0.5801105499632175,-0.10204892533378496,0.8359711639441214,1.1374338791776322
"[2, 14, 76]",0.7270379282344569,0.8348137209804685,0.5747864161409131,-0.14206104541275613,0.7747751395221705,1.1424790137399072
"[2, 16, 20]",-0.12100164970203518,0.3137495189275666,0.024281834561264058,-0.2331354651609876,0.61093135792696,0.8814455734633132
"[2, 16, 24]",-0.0714739443900074,0.3433383960133954,0.00494791827577383,-0.21864936117828532,0.7586742435432363,0.866069311213775
"[2, 16, 28]",-0.09188770921739611,0.5041727036398582,0.1394987012343452,-0.2293326868745686,0.9279106707138598,0.7697932013772432
"[2, 16, 32]",-0.00391630618144323,0.5571525829183738,0.1592280749076102,-0.1393336363572088,0.7360062726236478,0.8257505064851243
"[2, 16, 36]",0.2081218991889059,0.6657303006612155,0.3207704401378651,-0.1725860417581368,0.8262695090701871,0.8354398818585635
"[2, 16, 40]",0.23771728137341527,0.7693757285730084,0.3572777346986813,-0.22791472026627235,0.7562574710649016,0.7699444373684958
"[2, 16, 44]",0.21901912208867985,0.7587936584455008,0.358480297077022,-0.19568982599150891,0.7775861337826154,0.8645890720186951
"[2, 16, 48]",0.30131534569014706,0.7179736267259593,0.40760104862211377,-0.15681335309919306,0.7712656130819646,0.8811418874976453
"[2, 16, 52]",0.3364357890417274,0.8093292641221328,0.376948465114163,-0.0829443019066371,0.7868951502543534,0.7864836374854474
"[2, 16, 56]",0.4088318971056729,0.930802232025972,0.38584116111814515,-0.029679249384949702,0.757906808171669,0.7872290179055188
"[2, 16, 60]",0.40005252384150136,0.9964911173371112,0.4297933359057584,-0.016905440538892258,0.6334469565189116,0.78188985948233
"[2, 16, 64]",0.38760671363632815,0.8264020703388385,0.41534967985459104,-0.03146143063866014,0.5081506485486895,0.859320471944323
"[2, 16, 68]",0.42851392188429416,0.8604345969863181,0.4121493795742795,-0.06847852145522587,0.47060246363934355,0.9270010154734709
